,Bigram,Count,Veracity
53834,Não Não,3,Fake
56093,reunião ministerial,3,Fake
53833,INÁCIO LULA,3,Fake
53832,Lula sempre,3,Fake
54207,ter ido,3,Fake
53825,Civil Eliseu,3,Fake
54209,Flávio Ricco,3,Fake
55857,vira réu,3,Fake
55853,deputado ainda,3,Fake
56086,documentos referentes,3,Fake
53815,LavaJato contra,3,Fake
53814,Lula dizendo,3,Fake
53813,mau tempo,3,Fake
53812,país ainda,3,Fake
55847,ator comunista,3,Fake
53743,defende Lula,3,Fake
53740,colunista Léo,3,Fake
54562,Souza informou,3,Fake
53662,acima citados,3,Fake
53684,neste assunto,3,Fake
56177,Pinheiro expresidente,3,Fake
56181,Farias disse,3,Fake
53676,boletim médico,3,Fake
55808,forma direta,3,Fake
53674,escondido cerca,3,Fake
54309,outro motorista,3,Fake
56183,petista durante,3,Fake
54311,208 milhões,3,Fake
53671,expedido hoje,3,Fake
53670,preventiva expedido,3,Fake
53668,empresário Eike,3,Fake
53666,dama sofreu,3,Fake
56186,senador Caiado,3,Fake
56173,tentar provar,3,Fake
56191,triste porque,3,Fake
54321,Sargento Rodrigues,3,Fake
55801,documentos sobre,3,Fake
56196,vergonha nacional,3,Fake
53642,Santos Dumont,3,Fake
53641,Revista ISTOÉ,3,Fake
53639,uso pessoal,3,Fake
54327,rapper americana,3,Fake
53634,Odebrecht fizeram,3,Fake
53633,STF hoje,3,Fake
54328,chamou brasileiros,3,Fake
53630,petista quer,3,Fake
55798,trabalhador brasileiro,3,Fake
56174,citado diretamente,3,Fake
53686,Ouça abaixo,3,Fake
55832,piso salarial,3,Fake
55819,Vai pra,3,Fake
53738,Vai virar,3,Fake
55829,vida curta,3,Fake
56139,possível acordo,3,Fake
56141,Lula ficou,3,Fake
53731,tomar conta,3,Fake
53728,tentou ser,3,Fake
56146,Lewandowski suspendeu,3,Fake
56148,base jurídica,3,Fake
53718,policiais deram,3,Fake
53717,jornal Tribuna,3,Fake
54293,Vinícius Bonemer,3,Fake
55820,ser liberado,3,Fake
53712,queria dar,3,Fake
54295,fontes próximas,3,Fake
53687,Federal acaba,3,Fake
56156,ninguém aqui,3,Fake
54296,dois amigos,3,Fake
53704,vai partir,3,Fake
53700,empresário chegou,3,Fake
56161,Dilma quer,3,Fake
56164,segundo informação,3,Fake
54299,assédio sexual,3,Fake
53696,primeiro mundo,3,Fake
53694,vírus Zika,3,Fake
53693,Rússia faz,3,Fake
56167,Ninguém quer,3,Fake
55810,Mantega sabia,3,Fake
53689,vai analisar,3,Fake
53859,podem complicar,3,Fake
54194,vai melhorar,3,Fake
53863,decretou hoje,3,Fake
53968,Globo estaria,3,Fake
54091,Congresso sobre,3,Fake
53995,enxugando gelo,3,Fake
54092,passou despercebida,3,Fake
53991,grupo criminoso,3,Fake
53990,facções criminosas,3,Fake
55990,afastamento imediato,3,Fake
53985,pensão alimentícia,3,Fake
55925,Camila Pitanga,3,Fake
53980,deveria dar,3,Fake
53978,processo segue,3,Fake
55924,atriz Camila,3,Fake
55923,afogado durante,3,Fake
55992,novos rumos,3,Fake
55921,prainha minutos,3,Fake
55983,campanha petista,3,Fake
53966,litoral norte,3,Fake
54103,Não poderia,3,Fake
54106,Temer Geddel,3,Fake
53964,Apóstolo Valdemiro,3,Fake
53963,programa Balanço,3,Fake
55999,Essa gente,3,Fake
56002,militarizar todas,3,Fake
56007,eleito presidente,3,Fake
53957,dois oficiais,3,Fake
56008,ser difícil,3,Fake
54112,disse Não,3,Fake
53952,sistema prisional,3,Fake
55911,pupilas dilatadas,3,Fake
54090,Lula cometeu,3,Fake
55982,outros órgãos,3,Fake
53865,acidentes aéreos,3,Fake
55960,anos 1980,3,Fake
55950,outros clientes,3,Fake
55951,algumas revelações,3,Fake
54060,Vários sites,3,Fake
55947,faz menção,3,Fake
55946,nova presidente,3,Fake
55953,pergunta sobre,3,Fake
54048,outra função,3,Fake
54062,seleção brasileira,3,Fake
54042,Dias disse,3,Fake
54040,sofre acidente,3,Fake
54063,atacante Neymar,3,Fake
54065,Tássia Camargo,3,Fake
54068,Desta maneira,3,Fake
54034,semana após,3,Fake
54001,Nas próximas,3,Fake
54032,qualquer ameaça,3,Fake
55944,Bill Gates,3,Fake
55963,empresa Consist,3,Fake
54019,querem fazer,3,Fake
55936,tudo faz,3,Fake
55934,cão labrador,3,Fake
55973,depoimento prestado,3,Fake
54011,pena assistir,3,Fake
54010,Gustavo Lima,3,Fake
55978,patrimônio declarado,3,Fake
54083,grupo hacker,3,Fake
54085,Com amor,3,Fake
54003,algo inédito,3,Fake
53951,horas antes,3,Fake
53950,ser transferidos,3,Fake
54114,vinha sendo,3,Fake
53877,Pelo fato,3,Fake
53899,partir desta,3,Fake
53898,Secretaria Nacional,3,Fake
55880,apartamentos funcionais,3,Fake
53895,desses dados,3,Fake
54162,organizações ligadas,3,Fake
56048,cumpriu mandado,3,Fake
54165,política mundial,3,Fake
56050,poderia morrer,3,Fake
55878,Brasil deve,3,Fake
53884,poucas palavras,3,Fake
55877,poderão ajudar,3,Fake
54170,pastora evangélica,3,Fake
54179,sistema penitenciário,3,Fake
54181,precisava fazer,3,Fake
56012,partir dessa,3,Fake
56052,programa Minha,3,Fake
53876,Ricardo Feltrin,3,Fake
55868,garantias fundamentais,3,Fake
56053,algum cargo,3,Fake
53874,vídeo pedindo,3,Fake
54185,condenações penais,3,Fake
55866,denúncia apresentada,3,Fake
56055,17a Vara,3,Fake
54188,Planalto decidiu,3,Fake
56056,deveriam estar,3,Fake
54189,informação oficial,3,Fake
55863,Governo vai,3,Fake
56060,Virou bagunça,3,Fake
54156,irá adotar,3,Fake
54155,sociais contra,3,Fake
54153,informações falsas,3,Fake
54151,eleições americanas,3,Fake
55910,lobista Fernando,3,Fake
53940,outros artistas,3,Fake
55905,naviosonda Vitoria,3,Fake
54121,médico psiquiatra,3,Fake
53937,Brasil Mas,3,Fake
53931,recente entrevista,3,Fake
55904,Schahin Engenharia,3,Fake
56026,estarão sob,3,Fake
54124,vai quebrar,3,Fake
56029,presente feito,3,Fake
54125,quebrar tudo,3,Fake
54127,tentou amenizar,3,Fake
54128,Saúde informou,3,Fake
54130,recupera bem,3,Fake
53919,Jato envolvendo,3,Fake
54134,programas sociais,3,Fake
55895,continua causando,3,Fake
56037,Jesus disse,3,Fake
55889,cometer atos,3,Fake
56039,voto direto,3,Fake
53913,News acabou,3,Fake
54147,confusão aconteceu,3,Fake
56040,divulgada ontem,3,Fake
56042,nesse caos,3,Fake
53907,vivendo hoje,3,Fake
53906,trágico acidente,3,Fake
53905,Eles chegaram,3,Fake
53628,Lula usou,3,Fake
53626,várias fotos,3,Fake
56205,Veja decidiu,3,Fake
56342,força política,3,Fake
56326,Idade Média,3,Fake
55692,baixo nível,3,Fake
53414,Departamento Penitenciário,3,Fake
56328,continuar trabalhando,3,Fake
54494,João Augusto,3,Fake
56330,ser socorrida,3,Fake
56332,alertou sobre,3,Fake
56333,Robson Bonin,3,Fake
56334,4500 itens,3,Fake
53404,empreiteira pagou,3,Fake
56337,ser divulgado,3,Fake
56338,caso Dilma,3,Fake
56341,Brasil aplaude,3,Fake
54500,sociais desde,3,Fake
56323,tenta desmoralizar,3,Fake
55691,toda razão,3,Fake
56344,gerando polêmica,3,Fake
53390,desta segunda,3,Fake
56346,análise rápida,3,Fake
56347,gastos diretos,3,Fake
56350,operação pente,3,Fake
54504,diz ser,3,Fake
54507,outro trecho,3,Fake
53385,documento assinado,3,Fake
53384,ver navios,3,Fake
53381,mensagens via,3,Fake
53379,Adelmário Pinheiro,3,Fake
53378,José Adelmário,3,Fake
53417,Curitiba desde,3,Fake
53423,doações feitas,3,Fake
53464,repúdio contra,3,Fake
56310,ataque verbal,3,Fake
54460,sociais petistas,3,Fake
55706,substância branca,3,Fake
53461,Jorge Picciani,3,Fake
53460,vamos parar,3,Fake
56300,empresário Luís,3,Fake
56303,Lula Agora,3,Fake
56304,tomem conta,3,Fake
56305,conta disso,3,Fake
54471,próprios filhos,3,Fake
53453,processo legal,3,Fake
53452,Ministro Dias,3,Fake
54476,meses antes,3,Fake
56309,boca durante,3,Fake
54478,via Blog,3,Fake
53424,governo quanto,3,Fake
54479,Seleção Brasileira,3,Fake
54480,apoio parlamentar,3,Fake
54483,incidente ocorreu,3,Fake
54484,ameaças feitas,3,Fake
53443,tão bem,3,Fake
53440,decidiu revelar,3,Fake
54486,alto risco,3,Fake
53432,Militar informou,3,Fake
53431,após serem,3,Fake
53429,ministro Toffoli,3,Fake
56318,filho Fábio,3,Fake
56321,público Isso,3,Fake
54489,recebido propina,3,Fake
53377,algo recente,3,Fake
53374,sendo feito,3,Fake
53372,Ary Fontoura,3,Fake
53300,colocar ordem,3,Fake
56386,meia hora,3,Fake
55675,ter cuidado,3,Fake
56389,Juca Ferreira,3,Fake
54545,favor voltem,3,Fake
53314,mil curtidas,3,Fake
56390,seguinte Não,3,Fake
53312,página oficial,3,Fake
55672,Calheiros PMDB,3,Fake
53309,ministro Celso,3,Fake
53307,Brasil poderão,3,Fake
53305,STF decide,3,Fake
55671,porque vai,3,Fake
55669,situação pode,3,Fake
53299,Federal Não,3,Fake
53371,primeiras imagens,3,Fake
56398,revista época,3,Fake
53296,vai implodir,3,Fake
53293,Agora pouco,3,Fake
56401,desde janeiro,3,Fake
56403,muitas coisas,3,Fake
54556,Carlos Valadares,3,Fake
53287,ser encaminhado,3,Fake
53286,sido feita,3,Fake
54557,cinco senadores,3,Fake
53284,ter repassado,3,Fake
55667,todo brasileiro,3,Fake
54559,presidente pode,3,Fake
53281,reta final,3,Fake
53321,brasileiros acham,3,Fake
53322,quer estancar,3,Fake
56383,nunca havia,3,Fake
56380,FORA TEMER,3,Fake
53370,país Para,3,Fake
55687,livros sobre,3,Fake
56353,cartão corporativo,3,Fake
56354,irá acabar,3,Fake
53368,preciso muita,3,Fake
53367,PEC 102013,3,Fake
53366,Gastamos bilhões,3,Fake
53364,aporte financeiro,3,Fake
56356,Olímpico Internacional,3,Fake
54509,Ambos disseram,3,Fake
53362,cada estado,3,Fake
54511,publicado hoje,3,Fake
56360,Lula Desde,3,Fake
53350,peixe graúdo,3,Fake
54517,ataque pessoal,3,Fake
56366,fatos apurados,3,Fake
54523,Alan Ruschel,3,Fake
55682,pleno conhecimento,3,Fake
55681,qualquer aeronave,3,Fake
54525,pessoa educada,3,Fake
56374,grande erro,3,Fake
53337,mega empreiteira,3,Fake
54529,punido porque,3,Fake
56376,Após dizer,3,Fake
56377,homens trabalham,3,Fake
54533,figura pública,3,Fake
55677,derrubar aviões,3,Fake
56299,fez pagamentos,3,Fake
54459,Frei Savonarola,3,Fake
54332,terceiro mundo,3,Fake
54390,comandante máximo,3,Fake
54364,feita através,3,Fake
53578,família Bolsonaro,3,Fake
54365,dinheiro envolvendo,3,Fake
54369,cantor Roberto,3,Fake
55777,Prêmio Nobel,3,Fake
53577,tocar fogo,3,Fake
54374,Padre Léo,3,Fake
53574,deu mal,3,Fake
54375,minuto 150,3,Fake
55770,ser realizadas,3,Fake
55765,José Antunes,3,Fake
53564,mídia golpista,3,Fake
55763,Dilma deixou,3,Fake
55760,dois servidores,3,Fake
55779,Temer pretende,3,Fake
56239,vai chorar,3,Fake
56240,peça teatral,3,Fake
56241,Planalto Dilma,3,Fake
55757,pomba gira,3,Fake
54393,caso alguém,3,Fake
55755,existem outros,3,Fake
55754,Barbosa disse,3,Fake
53556,junho deste,3,Fake
53555,nome envolvido,3,Fake
53553,cujos nomes,3,Fake
55752,Vídeo flagra,3,Fake
54402,revista Forbes,3,Fake
54405,líder mundial,3,Fake
56233,afastamento definitivo,3,Fake
54361,nesta matéria,3,Fake
56298,Mautoni Empreendimentos,3,Fake
53600,novo relator,3,Fake
55793,então ministro,3,Fake
53620,Braga PMDBAM,3,Fake
53612,ter considerado,3,Fake
56213,Esse cara,3,Fake
56214,Esse tal,3,Fake
53608,apresentador global,3,Fake
53606,vida real,3,Fake
55792,gatos pingados,3,Fake
54338,tom irônico,3,Fake
53604,hospitais públicos,3,Fake
54341,público deve,3,Fake
53602,Campinas interior,3,Fake
55791,pronunciou através,3,Fake
54342,caso específico,3,Fake
56229,pretende usar,3,Fake
54345,comigo Não,3,Fake
55789,apresentador Fausto,3,Fake
54349,facção criminosa,3,Fake
53594,morte cerebral,3,Fake
55784,Após ter,3,Fake
53592,pelego oportunista,3,Fake
54354,Ainda segundo,3,Fake
54356,preventiva contra,3,Fake
53590,Lima Duarte,3,Fake
55783,fins lucrativos,3,Fake
54358,cara disse,3,Fake
56228,Ele relatou,3,Fake
54359,ano Lula,3,Fake
56254,ingressos falsos,3,Fake
56255,ator Murilo,3,Fake
53546,ainda pior,3,Fake
56291,violência física,3,Fake
53501,sistema eleitoral,3,Fake
55727,tentou suicídio,3,Fake
55726,desembargador Marcelo,3,Fake
55725,disse Delcídio,3,Fake
55723,vários nomes,3,Fake
53496,preciso antecipar,3,Fake
54432,vídeo explicativo,3,Fake
56284,torcida brasileira,3,Fake
54433,Brasil confira,3,Fake
53492,Foram registradas,3,Fake
53491,melhores salários,3,Fake
53489,conseguiu transformar,3,Fake
56289,país bizarro,3,Fake
54447,empresa havia,3,Fake
56256,Murilo Rosa,3,Fake
54448,dez vezes,3,Fake
54453,pra tudo,3,Fake
53481,tragédia anunciada,3,Fake
56295,sendo acusada,3,Fake
56296,suposto envolvimento,3,Fake
53478,ainda ressaltou,3,Fake
53477,site Paraná,3,Fake
53476,dois pesos,3,Fake
53475,ter dois,3,Fake
56297,incentivos fiscais,3,Fake
53471,afastamento determinado,3,Fake
54458,notícia publicada,3,Fake
53467,Cunha alega,3,Fake
56279,IstoÉ informou,3,Fake
53510,intervenção cirúrgica,3,Fake
53511,Pela segunda,3,Fake
56278,capítulo exclusivo,3,Fake
55748,então candidato,3,Fake
53542,decisão unânime,3,Fake
54408,doença misteriosa,3,Fake
56258,Parque Olímpico,3,Fake
56259,sambista carioca,3,Fake
55745,afirmou ainda,3,Fake
54411,cor preta,3,Fake
53535,ocorreu porque,3,Fake
56263,Rosário PTRS,3,Fake
53534,programa Domingão,3,Fake
55739,prisões preventivas,3,Fake
55738,ser ainda,3,Fake
54418,nesse exato,3,Fake
53527,Justiça Alexandre,3,Fake
56270,funcionários fantasmas,3,Fake
56271,ponto eletrônico,3,Fake
53525,mera coincidência,3,Fake
55736,Vamos repetir,3,Fake
53522,abaixo Não,3,Fake
55733,exsenador petista,3,Fake
55730,Igor Romário,3,Fake
56274,Ela vai,3,Fake
53516,ser atingida,3,Fake
56275,faz papel,3,Fake
53515,própria morte,3,Fake
55729,delegado Igor,3,Fake
56277,Dilma acabou,3,Fake
55555,gente viveu,3,Fake
55949,ataques verbais,3,Fake
52498,ruas desde,3,Fake
55023,pedir propina,3,Fake
57053,vaquinha virtual,3,Fake
52280,Joyce Hasselmann,3,Fake
55020,bom sentido,3,Fake
55133,767 incluindo,3,Fake
55021,notícias ruins,3,Fake
57169,juiz Federal,3,Fake
52040,bombardeiros nucleares,3,Fake
55515,pediu formalmente,3,Fake
51679,Lula chama,3,Fake
57168,nesses inquéritos,3,Fake
55131,partes maciças,3,Fake
52044,presidente Ele,3,Fake
52272,embaixador russo,3,Fake
57167,investigados nesses,3,Fake
55029,desses caras,3,Fake
52045,Lula desde,3,Fake
57170,Federal Sérgio,3,Fake
57172,Carmem Lucia,3,Fake
57074,PGR mostra,3,Fake
55299,dupla cidadania,3,Fake
51771,sendo processado,3,Fake
52026,intercontinental ICBM,3,Fake
52027,prometeu lançar,3,Fake
51770,ainda poderão,3,Fake
52030,disparar mísseis,3,Fake
55431,qualquer ato,3,Fake
52296,Não conheço,3,Fake
52033,neste mês,3,Fake
52291,ditador sanguinário,3,Fake
51766,Santo Antônio,3,Fake
57174,223 funcionários,3,Fake
55012,notícia veiculada,3,Fake
55517,tentou arrumar,3,Fake
57045,esposa Mônica,3,Fake
57387,comer marmitex,3,Fake
52035,maior bomba,3,Fake
52046,governos estrangeiros,3,Fake
52271,conflito armado,3,Fake
57386,Dilma estaria,3,Fake
51760,propina paga,3,Fake
55033,rabo preso,3,Fake
52050,Eles querem,3,Fake
55287,Monica Iozzi,3,Fake
52250,fonte próxima,3,Fake
57377,vários outros,3,Fake
57071,confusão mental,3,Fake
52053,especialistas alertaram,3,Fake
52247,Complexo MédicoPenal,3,Fake
51682,expresidente fez,3,Fake
51759,suposto recebimento,3,Fake
52244,outros integrantes,3,Fake
57332,Lula estará,3,Fake
57371,814 mil,3,Fake
55246,Abílio Diniz,3,Fake
51691,maior teste,3,Fake
57073,Vera Durão,3,Fake
52251,família presidencial,3,Fake
52252,comentário feito,3,Fake
52254,Rádio Jornal,3,Fake
57066,taxar grandes,3,Fake
55297,explicações sobre,3,Fake
52267,Mar Mediterrâneo,3,Fake
55290,pessoas inocentes,3,Fake
55289,palhaços assassinos,3,Fake
51684,Eles vão,3,Fake
55130,conter partes,3,Fake
52047,qualquer problema,3,Fake
55031,político profissional,3,Fake
52048,diversas outras,3,Fake
52264,sírio Bashar,3,Fake
55244,Que venha,3,Fake
52263,presidente sírio,3,Fake
51763,forma tão,3,Fake
57063,170 mil,3,Fake
52259,Para complicar,3,Fake
55302,salvo conduto,3,Fake
52298,Norte ameaçou,3,Fake
52025,novo modelo,3,Fake
57015,concedeu liminar,3,Fake
51998,imagens mostram,3,Fake
57010,petista Luiz,3,Fake
55408,outros governos,3,Fake
55006,AMB Associação,3,Fake
55144,usados hologramas,3,Fake
55143,desaparecimento completo,3,Fake
51774,desmoralizar homens,3,Fake
52329,Levy Fidelix,3,Fake
57192,brasileiros façam,3,Fake
52007,sociais sobre,3,Fake
55315,encontrar dificuldades,3,Fake
55141,dessas aeronaves,3,Fake
55140,estruturais dessas,3,Fake
55412,poderá retomar,3,Fake
55009,LavaJato Além,3,Fake
52324,empresa informou,3,Fake
52341,senador quer,3,Fake
55005,Jato João,3,Fake
55146,realizar tal,3,Fake
57008,órgão ambiental,3,Fake
57410,governador Geraldo,3,Fake
57408,ser prefeito,3,Fake
51783,Olha aqui,3,Fake
51647,ser lançado,3,Fake
51648,pode sair,3,Fake
51994,Eles alegam,3,Fake
51781,Cooperativa Habitacional,3,Fake
57200,milhões Até,3,Fake
55322,terrorista Cesare,3,Fake
51780,boa índole,3,Fake
55237,esquerda baderneira,3,Fake
55432,Lula criticou,3,Fake
52344,filósofo Giordano,3,Fake
51997,Kim Ilsung,3,Fake
51655,situação atual,3,Fake
57193,Paulo Betti,3,Fake
57398,via UOL,3,Fake
55304,quer escapar,3,Fake
57028,Dira Paes,3,Fake
52304,influência sobre,3,Fake
55310,mesma cela,3,Fake
55415,sob ataque,3,Fake
52303,vai resolver,3,Fake
52302,Financial Times,3,Fake
55137,quilos cada,3,Fake
52017,bunkers espalhados,3,Fake
57029,fácil pra,3,Fake
57021,Cláudia Cordeiro,3,Fake
55136,pesando aproximadamente,3,Fake
55135,motor pesando,3,Fake
52301,rapidamente Ele,3,Fake
55011,novo aliado,3,Fake
52022,EUA Trump,3,Fake
52023,lança míssil,3,Fake
52299,míssil intercontinental,3,Fake
52305,Jongun disse,3,Fake
51673,submarino nuclear,3,Fake
51671,portaaviões Carl,3,Fake
52310,fazendo mer,3,Fake
57191,Ator petista,3,Fake
55139,componentes estruturais,3,Fake
55138,destes componentes,3,Fake
57320,dar ordens,3,Fake
52315,pegando fogo,3,Fake
57396,sobre novas,3,Fake
51668,quer evitar,3,Fake
51669,frota naval,3,Fake
57024,estaria morto,3,Fake
57025,César Filho,3,Fake
52013,Quando tudo,3,Fake
57026,Marconi Perillo,3,Fake
57188,Empresa Brasil,3,Fake
52015,fica localizado,3,Fake
51670,americano Carl,3,Fake
52242,petista vai,3,Fake
52055,Seul disseram,3,Fake
51784,algumas mensagens,3,Fake
55109,pés acima,3,Fake
55261,altíssima periculosidade,3,Fake
55110,parte significativa,3,Fake
57122,Temer negou,3,Fake
51739,ICBM capaz,3,Fake
51724,diretor executivo,3,Fake
52165,vai denunciar,3,Fake
52164,ser destruído,3,Fake
57124,pior espécie,3,Fake
57144,correndo risco,3,Fake
55085,tecnologia suficiente,3,Fake
52159,levar chocolates,3,Fake
55087,mil anos,3,Fake
52157,vai destruir,3,Fake
57125,Bernardo exministro,3,Fake
55262,dois executivos,3,Fake
52151,PGR quer,3,Fake
52102,debaixo dágua,3,Fake
52170,atenção especial,3,Fake
55510,autorização judicial,3,Fake
52095,irão aparecer,3,Fake
57148,NÃO PODE,3,Fake
52094,mundo vai,3,Fake
52179,podemos prever,3,Fake
55497,juiz durante,3,Fake
55079,poderá assistir,3,Fake
55420,revista ISTO,3,Fake
55114,ter penetrado,3,Fake
55493,anos morre,3,Fake
57117,federal Paulo,3,Fake
51722,déspota nortecoreano,3,Fake
52097,vai assinar,3,Fake
52175,vão dizer,3,Fake
55113,motor poderia,3,Fake
52172,alguns países,3,Fake
52099,homicídio durante,3,Fake
52171,ser dada,3,Fake
57129,notícia falsa,3,Fake
52145,Janot pedirá,3,Fake
51738,míssil ICBM,3,Fake
52115,operações militares,3,Fake
52129,daquele cidadão,3,Fake
52128,filhos daquele,3,Fake
55103,governo mídia,3,Fake
55102,fraudulenta alegada,3,Fake
55274,Uma notícia,3,Fake
57135,Laurita Vaz,3,Fake
55093,aeronaves Boeing,3,Fake
52126,irão aprender,3,Fake
55088,neste período,3,Fake
55098,Torres gêmeas,3,Fake
52125,Meus filhos,3,Fake
52124,vai cumprir,3,Fake
51734,suposto ataque,3,Fake
52123,300 metros,3,Fake
55100,767 atingiu,3,Fake
55101,gêmeas Foi,3,Fake
52130,Odebrecht confirmou,3,Fake
57140,Sexta Turma,3,Fake
55275,tentou tirar,3,Fake
55107,540 mph,3,Fake
55265,querem ser,3,Fake
55089,ter filhos,3,Fake
52105,novo sistema,3,Fake
52139,LavaJato Lula,3,Fake
57351,via decreto,3,Fake
55108,1000 pés,3,Fake
52106,matou dezenas,3,Fake
52136,vem todo,3,Fake
55268,quatro processos,3,Fake
51731,possa atingir,3,Fake
57133,jornalista Heraldo,3,Fake
57345,enfim algo,3,Fake
57134,ser negro,3,Fake
52110,faz sentido,3,Fake
52111,gás sarin,3,Fake
51721,bombas atômicas,3,Fake
51720,estado norteamericano,3,Fake
57341,primeiros dias,3,Fake
55050,novas vagas,3,Fake
57161,Lula Ministro,3,Fake
57084,Helder Barbalho,3,Fake
52065,grupo pede,3,Fake
52066,mil colaboradores,3,Fake
52223,Wladmir Putin,3,Fake
57085,Temer assuma,3,Fake
52222,vários pontos,3,Fake
52070,pode começar,3,Fake
55128,acidente deveriam,3,Fake
55129,deveriam conter,3,Fake
55285,divulgado hoje,3,Fake
57367,votar contra,3,Fake
51701,Jinping presidente,3,Fake
52218,frente Não,3,Fake
51702,via telefone,3,Fake
57092,tenta fazer,3,Fake
52064,300 pessoas,3,Fake
57162,Chefe Casa,3,Fake
52061,Hiroshima durante,3,Fake
52060,dispositivo caiu,3,Fake
57370,Delcídio afirmou,3,Fake
52056,nenhuma tragédia,3,Fake
55041,defesa alega,3,Fake
57083,vai piorar,3,Fake
55044,Moro cometeu,3,Fake
52057,tragédia pode,3,Fake
55509,Quem fez,3,Fake
55047,Matéria publicada,3,Fake
52233,global José,3,Fake
57164,cinco investigações,3,Fake
51693,outras cinco,3,Fake
52058,próximo teste,3,Fake
55049,próxima terçafeira,3,Fake
57163,petista passou,3,Fake
55508,descobriu tudo,3,Fake
51706,150 metros,3,Fake
55428,David Beckham,3,Fake
55122,núcleo maciço,3,Fake
55065,daquela famosa,3,Fake
51717,Coreia pode,3,Fake
55204,jornalista desde,3,Fake
55252,possa lançar,3,Fake
51718,armamentos nucleares,3,Fake
55501,abriu mão,3,Fake
52085,Esse país,3,Fake
52086,entender agora,3,Fake
57104,contar tudo,3,Fake
57093,ter limites,3,Fake
55427,tendo recebido,3,Fake
55067,tenta criar,3,Fake
52188,chama atenção,3,Fake
55484,delação feita,3,Fake
57150,pessoas podem,3,Fake
57106,Leudo Costa,3,Fake
55069,Advogado diz,3,Fake
51751,Elton John,3,Fake
55282,Wanessa Camargo,3,Fake
51715,problemas mentais,3,Fake
52080,KCNA estatal,3,Fake
52072,base americana,3,Fake
52073,caso Kim,3,Fake
55058,Público Estadual,3,Fake
52209,ser atacado,3,Fake
52074,capacidades militares,3,Fake
52075,voltar contra,3,Fake
52207,pode esperar,3,Fake
52206,The Washington,3,Fake
52205,Jongun lançou,3,Fake
52076,FHC Lula,3,Fake
52204,implacável contra,3,Fake
55126,parte caísse,3,Fake
51714,Bin Laden,3,Fake
55502,Letícia esposa,3,Fake
51753,inspira cuidados,3,Fake
57411,anos diz,3,Fake
51776,envolvido nessas,3,Fake
52353,sobre Aécio,3,Fake
52441,possível prisão,3,Fake
51919,público Eles,3,Fake
57246,tentar negociar,3,Fake
51836,Mendes Júnior,3,Fake
52447,Confederação Brasileira,3,Fake
56927,Não satisfeita,3,Fake
55540,Rubens Valente,3,Fake
54944,expresidente disseram,3,Fake
54946,medidas legais,3,Fake
51915,Diego Amorim,3,Fake
51586,pronunciaram sobre,3,Fake
54947,contra todos,3,Fake
51924,podemos esquecer,3,Fake
55361,arrecadar recursos,3,Fake
52437,Câmara Ele,3,Fake
55445,país sério,3,Fake
57242,questões políticas,3,Fake
54942,ficou completamente,3,Fake
51913,vídeos abaixo,3,Fake
55446,trabalhar pra,3,Fake
52457,Segundo reportagem,3,Fake
56921,Vou fazer,3,Fake
55541,frase abaixo,3,Fake
52461,Lasier Martins,3,Fake
55187,ter dinheiro,3,Fake
51907,matéria informou,3,Fake
52458,citados acima,3,Fake
51579,capital nortecoreana,3,Fake
55370,ISTOÉ revelou,3,Fake
52454,atearam fogo,3,Fake
55185,Temer declarou,3,Fake
54940,segurança cibernética,3,Fake
55182,portal Antagonista,3,Fake
54941,mil euros,3,Fake
56923,possa usar,3,Fake
52455,vai divulgar,3,Fake
51910,alguma ação,3,Fake
57241,ficaram revoltados,3,Fake
51589,Santa Lúcia,3,Fake
55357,diz estar,3,Fake
56947,chamado mensalão,3,Fake
51600,preso durante,3,Fake
55168,pilotos profissionais,3,Fake
52426,André Celso,3,Fake
57442,STF contra,3,Fake
51827,senhor diz,3,Fake
55401,seis semanas,3,Fake
54958,pedir prisão,3,Fake
57234,deixarei passar,3,Fake
51594,Comissão Parlamentar,3,Fake
55535,comido vai,3,Fake
51825,Lagoa Rodrigo,3,Fake
56949,mensalão mineiro,3,Fake
55342,vamos permitir,3,Fake
57439,portal Notícias,3,Fake
52423,Moro argumentou,3,Fake
51941,considerado crime,3,Fake
52427,Moro Moro,3,Fake
52429,primeiro mês,3,Fake
51935,decisões judiciais,3,Fake
55467,vai sair,3,Fake
55174,fornecer evidências,3,Fake
55351,fonte segura,3,Fake
56933,fez Dilma,3,Fake
57288,Transparência citado,3,Fake
52433,velha política,3,Fake
57290,cargos porque,3,Fake
56938,poderá deixar,3,Fake
56939,fez piada,3,Fake
57291,gravações produzidas,3,Fake
51931,Brasil Segundo,3,Fake
52430,ser apenas,3,Fake
55222,fim imediato,3,Fake
55171,naquele dia,3,Fake
51642,lançamento ocorreu,3,Fake
55170,aconteceu naquele,3,Fake
57455,renúncia fiscal,3,Fake
51904,japonês Shinzo,3,Fake
51942,Imagens captadas,3,Fake
54919,marco legal,3,Fake
55390,publicada nesta,3,Fake
51856,propriedade privada,3,Fake
52486,decidir sobre,3,Fake
51561,Estado Rex,3,Fake
55210,novo programa,3,Fake
56899,vai dobrar,3,Fake
57460,Lira PPAL,3,Fake
54920,tão importante,3,Fake
55550,hoje ministro,3,Fake
51884,Korean Central,3,Fake
51885,Central News,3,Fake
51886,News Agency,3,Fake
54921,divulga nota,3,Fake
51888,Lula tentou,3,Fake
56903,afora Mais,3,Fake
